Item	Page_Lines	Para	Text
31	4.45 - 5.2	§ 2.14.(d)	ensuring the sufficient supply of properly trained and qualified craft labor personnel is vital to the protection of state interests and investments in the renewable energy sector. Large-scale construction projects are both labor intensive and inherently dangerous operations. The timely, successful delivery of these projects is critical to the delivery of safe and reliable power to consumers. Thus, the safe and successful completion of these projects necessitates a highly skilled workforce. It is critical that the state support the development of this workforce, as the construction industry generally is facing the most acute, widespread skill shortage in craft labor personnel in modern times. This shortage can cause various types of project failures, including major schedule delays, cost-overruns, increased safety incidents, or other serious problems; 
32	5.3 - 5.16	§ 2.14.(e)	while many aspects of construction project planning cannot be controlled, ensuring the adequate supply of properly trained craft personnel can be effectively managed through the use of labor performance tools and policies. Key labor performance provisions include prevailing wage requirements, project labor agreements and responsible contractor provisions. These policies, in use in New York and throughout the country, are shown to be effective at protecting capital investments and the proprietary interests of investors. These tools also help ensure that adequate numbers of skilled craft personnel are deployed to projects in a timely manner and that the most highly qualified contractors will be attracted to such projects. These tools also protect the wage rates of local communities, promote adherence to required licensing and technical certifications, and maintain labor peace on projects to avoid disruptions and protect project delivery; 
33	5.17 - 5.26	§ 2.14.(f)	project labor agreements promote the planning         and   timely completion of construction projects, especially larger scale projects, by establishing pre-determined and uniform employment terms. This ensures an adequate supply of properly trained craft personnel, creates stability for project planning and prevents labor disruptions. Responsible contractor policies help ensure that contractors and subcontractors used for projects are reputable, qualified firms that have sufficient resources and capabilities needed to perform the work successfully. Prevailing wage requirements protect local area wage rates from being undermined; and 
34	5.27 - 5.32	§ 2.14.(g)	project labor agreements, responsible contracting and prevailing wage requirements also produce valuable socio-economic benefits by creating quality middle class jobs and skill training opportunities in New York's construction industry. Utilizing these policies will develop a new generation of craft labor personnel, create jobs in the state and foster economic development in communities where projects are located. 
35	5.33 - 5.38	§ 2.15.	It is in the interest of the state to strengthen, monitor and enforce prevailing wages, project labor agreements and responsible contracting. While prevailing wage requirements are already required for some renewable energy projects, these requirements should be strengthened and used in coordination with the additional labor and performance standards established in this act. 
36	5.39 - 5.50	§ 2.16.	The severity of current climate change and the threat of additional and more severe change will be affected by the actions undertaken by New York and other jurisdictions to reduce greenhouse gas emissions. According to the U.S. Global Change Research Program and the Intergovernmental Panel on Climate Change substantial reductions in greenhouse gas emissions will be required by mid-century in order to limit global warming to no more than 2°C and ideally 1.5°C, and thus minimize the risk of severe impacts from climate change. Specifically, industrialized countries must reduce their greenhouse gas emissions by at least 80 percent below 1990 levels by 2050 in order to stabilize carbon dioxide equivalent concentrations at 450 parts per million--the level required to stay within the 2°C target. 
37	5.51 - 6.8	§ 2.17.	"In 2019, New York state demonstrated national and international leadership on climate by enacting the Climate Leadership and Community Protection Act (""CLCPA""), the nation's most aggressive climate law and the nation's only climate law that provides for a just transition. The CLCPA created a comprehensive regulatory program to reduce greenhouse gas emissions from all anthropogenic sources 100% over 1990 levels by the year 2050, with an incremental target of at least a 40 percent reduction in climate pollution by the year 2030, and requires investment in and protection of disadvantaged communities. To meet the goals of the CLCPA, the state will need to transform its energy infrastructure, including the rapid and significant deployment of clean and renewable energy. It is in the interest of the state to promote and provide resources towards the development and maintenance of clean energy infrastructure. "
38	6.9 - 6.21	§ 2.18.	By exercising a global leadership role on greenhouse gas mitigation and climate change adaptation, New York will continue to position its economy, technology centers, financial institutions, and businesses to benefit from national and international efforts to address climate change. Action undertaken by New York to reduce greenhouse emissions will have an impact on global greenhouse gas emissions and the rate of climate change. In addition, such action will encourage other jurisdictions to implement complementary greenhouse gas reduction strategies and provide an example of how such strategies can be implemented. It will also advance the development of green technologies and sustainable practices within the private sector, which can have far-reaching impacts such as a reduction in the cost of renewable energy components, and the creation of jobs and tax revenues in New York. 
39	6.22 - 6.24	§ 2.19.	It is in the interest of New York to take rapid action to reduce greenhouse gas emissions and transition to a just clean energy economy. Such actions include: 
40	6.25 - 6.25	§ 2.19.(a)	raising new, dedicated revenue specifically for climate programs; 
41	6.26 - 6.28	§ 2.19.(b)	investing in clean and renewable energy infrastructure such as solar energy, offshore wind, grid storage technologies and energy efficiency; 
42	6.29 - 6.32	§ 2.19.(c)	rapidly transitioning to zero-emission transportation, especially zero-emission school and transit buses, to reduce adverse health impacts for children, workers, and communities, and improve grid resilience and renewable energy reliance; 
43	6.33 - 6.35	§ 2.19.(d)	prioritizing funding for locally driven projects to reduce emissions and increase resiliency, especially in disadvantaged communities that are most impacted by climate change and air pollution; 
44	6.36 - 6.38	§ 2.19.(e)	creating quality employment opportunities for all New Yorkers in the transition to a just clean economy and ensuring the full participation and prioritization of disadvantaged communities; and 
45	6.39 - 6.40	§ 2.19.(f)	ensuring workers and communities currently reliant on the fossil fuel industry are given resources to avoid adverse economic impacts. 
46	6.41 - 6.52	§ 2.20.	There is currently no state entity that is wholly dedicated to achieving the outcomes of the CLCPA. Without adequately devoting state resources and personnel, the outlined emissions reductions and electrification goals will not be realized in the target timeframe.    Pursuant to the CLCPA, the state has less than 30 years to fully transition the 10th largest economy in the world to one that is fossil fuel free, and intentionally prioritize overburdened populations. Reaching these goals will improve the health and well-being of the residents of the state and advance the state's economic interests. It is also critical that best value procurement requirements are established within the authority to optimize the solicitation, evaluation and award of renewable energy projects assisted by the state. 
47	6.53 - 7.7	§ 2.21.	It is in the interest of the state to establish a dedicated authority to ensure that New York's climate goals are accomplished. Such an authority would be able to nimbly manage the proceeds from a polluter fee which will amass significant revenue and require ongoing management. This authority would also disburse funds for clean energy community scale projects in a timely and efficient manner while employing best value procurement practices. In addition, a new authority would have the capacity to ensure prioritization of projects and funds for impacted communities, coordinate statewide emissions reduction strategies and assist impacted workers in a transition away from fossil fuels through specialized assistance programs. 
48	7.8 - 7.11	§ 2.22.	This legislation will build upon the developments outlined above by creating a comprehensive program for pricing greenhouse gas emissions and investing in a just transition to a low-carbon New York state economy, in accordance with the targets established in the CLCPA. 
49	7.12 - 7.13	§ 3.	Article 19 of the environmental conservation law is amended by adding a new title 13 to read as follows: 
50	7.14 - 7.15	(§3.) TITLE 13	VALUE OF POLLUTION AND MITIGATION PROGRAM 
51	7.16 - 7.16	(§3.) TITLE 13 § 19-1301.	Definitions. 
52	7.17 - 7.17	(§3.) TITLE 13 § 19-1301.19-1303.	Methodology and valuation of pollution price index. 
53	7.18 - 7.18	(§3.) TITLE 13 § 19-1301.19-1305.	Implementation of fees. 
54	7.19 - 7.19	(§3.) TITLE 13 § 19-1301.19-1307.	Allocation of revenues. 
55	7.20 - 7.20	(§3.) TITLE 13 § 19-1301.19-1309.	Inventory. 
56	7.21 - 7.21	(§3.) TITLE 13 § 19-1301.19-1311.	Transportation pollution. 
57	7.22 - 7.22	(§3.) TITLE 13 § 19-1301.19-1313.	Reporting. 
58	7.23 - 7.25	(§3.) TITLE 13 § 19-1301.	Definitions. For the purposes of this title, the following terms shall have the following meanings: 
59	7.26 - 7.27	(§3.) TITLE 13 § 19-1301.1.	"""The Act"" shall have the same meaning as in subdivision eight of section 19-0107 of this article. "
60	7.28 - 7.29	(§3.) TITLE 13 § 19-1301.2.	"""The authority"" means the climate and community investment authority created under the public authorities law. "
61	7.30 - 7.30	(§3.) TITLE 13 § 19-1301.3.	"""Comptroller"" means the New York state comptroller. "
62	7.31 - 7.33	(§3.) TITLE 13 § 19-1301.4.	"""Covered sources"" means those sources of regulated air contaminants required to have a permit under Title V of the Act (42 U.S.C. section 7661 et seq). "
63	7.34 - 7.38	(§3.) TITLE 13 § 19-1301.5.	"""Cumulative burdens"" mean the adverse health impacts that accrue to individuals and population groups as a result of exposure to pollution over time, and as a result of exposure to multiple forms of pollution and other risk factors, including poverty, violence, and substance abuse. "
64	7.39 - 7.40	(§3.) TITLE 13 § 19-1301.6.	"""Disadvantaged communities"" shall have the same meaning as in subdivision five of section 75-0101 of this chapter. "
65	7.41 - 7.42	(§3.) TITLE 13 § 19-1301.7.	"""Downstate region"" means the counties of Richmond, Kings, Queens, New York, Bronx, Westchester, Nassau and Suffolk. "
66	7.43 - 7.47	(§3.) TITLE 13 § 19-1301.8.	"""Emissions hotspot"" means a location where emissions of regulated air contaminants from specific sources may expose individuals and population groups to elevated risks of adverse health effects and may contribute to the cumulative health risks of emissions from other sources in the area. "
67	7.48 - 7.50	(§3.) TITLE 13 § 19-1301.9.	"""Emissions leakage"" means an increase in emissions outside of the state, as a result of, or in correlation with, the implementation of measures within the state to limit such emissions. "
68	7.51 - 7.55	(§3.) TITLE 13 § 19-1301.10.	"""Greenhouse gas"" means carbon dioxide, methane, nitrous oxide, hydrofluorocarbons, perfluorocarbons, sulfur hexafluoride, and any other substance emitted into the air that may be reasonably anticipated to cause or contribute to anthropogenic climate change, with the exception of agricultural emissions from livestock. "
69	8.1 - 8.2	(§3.) TITLE 13 § 19-1301.11.	"""Regulated air contaminant"" shall have the same meaning as in subdivision twenty-two of section 19-0107 of this article. "
70	8.3 - 8.4	(§3.) TITLE 13 § 19-1301.12.	"""President"" means the president of the climate and community investment authority. "
71	8.5 - 8.7	(§3.) TITLE 13 § 19-1301.13.	"""Social cost of pollution"" means the cost to New York residents of emitting one ton, or another unit of measurement deemed appropriate by the authority, of a given regulated air contaminant. "
72	8.8 - 8.10	(§3.) TITLE 13 § 19-1301.14.	"""Upstate region"" means all New York state counties other than Nassau, Suffolk, Richmond, Kings, Queens, New York, Bronx and Westchester. "
73	8.11 - 8.12	(§3.) TITLE 13 § 19-1301.15.	"""Working group"" means the climate justice working group established under section 75-0111 of this chapter. "
74	8.13 - 8.13	(§3.) TITLE 13 § 19-1303.	Methodology and valuation of pollution price index. 
75	8.14 - 8.21	(§3.) TITLE 13 § 19-1303.1.	Not later than one year after the effective date of this title, the authority, in coordination with the department, shall publish an index that lists the social cost of pollution for all regulated air contaminants, or appropriate sub-grouping thereof. At the same time, the authority shall publish a methodology for determining the social cost of pollution for each regulated air contaminant, or appropriate sub-grouping thereof. In determining the social cost of pollution for a given regulated air contaminant, the authority shall consider, at a minimum: 
76	8.22 - 8.23	(§3.) TITLE 13 § 19-1303.1.(a)	public health impacts, including but not limited to: loss of life, loss of welfare, and employment impacts; 
77	8.24 - 8.25	(§3.) TITLE 13 § 19-1303.1.(b)	impacts to public and private property, including agricultural property; 
78	8.26 - 8.27	(§3.) TITLE 13 § 19-1303.1.(c)	impacts to ecosystems and the ability of ecosystems to provide ecosystem services; and 
79	8.28 - 8.28	(§3.) TITLE 13 § 19-1303.1.(d)	the full life-cycle of impacts. 
80	8.29 - 8.34	(§3.) TITLE 13 § 19-1303.2.	If the authority, in coordination with the department, demonstrates that it is not administratively feasible in the time allotted in subdivision one of this section to complete a methodology for each individual regulated air contaminant, or appropriate sub-grouping thereof, then the authority may delay the completion of methodologies for some portion of regulated air contaminants for future rule-makings, provided that: 
81	8.35 - 8.37	(§3.) TITLE 13 § 19-1303.2.(a)	in the first publication of such methodologies, the authority completes a methodology, pursuant to subdivision one of this section, for each of the following pollutants: 
82	8.38 - 8.38	(§3.) TITLE 13 § 19-1303.2.(a)(i)	oxides of nitrogen; 
83	8.39 - 8.39	(§3.) TITLE 13 § 19-1303.2.(a)(ii)	volatile organic compounds; 
84	8.40 - 8.40	(§3.) TITLE 13 § 19-1303.2.(a)(iii)	sulfur dioxide; 
85	8.41 - 8.41	(§3.) TITLE 13 § 19-1303.2.(a)(iv)	particulate matter; 
86	8.42 - 8.42	(§3.) TITLE 13 § 19-1303.2.(a)(v)	carbon monoxide; and 
87	8.43 - 8.43	(§3.) TITLE 13 § 19-1303.2.(a)(vi)	lead; 
88	8.44 - 8.48	(§3.) TITLE 13 § 19-1303.2.(b)	in the first publication of such methodologies, the authority completes a methodology, pursuant to subdivision one of this section, for each of the air contaminants listed under section 112 of the Act (42 USC section 7412) that the authority finds to be most damaging to public health in New York, of all air contaminants listed under such section; 
89	8.49 - 8.54	(§3.) TITLE 13 § 19-1303.2.(c)	the authority demonstrates and publishes, along with the publication of methodologies described under subdivision one of this section, a description of why it is not administratively feasible in the time allotted in subdivision one of this section to complete a methodology, for each individual regulated air contaminant, or appropriate sub-grouping thereof; and 
90	8.55 - 9.2	(§3.) TITLE 13 § 19-1303.2.(d)	the authority subsequently publishes at least five additional methodologies per year, until that date when each regulated air contaminant, or appropriate sub-grouping thereof, has a complete methodology ascribed to it. 
91	9.3 - 9.3	(§3.) TITLE 13 § 19-1305.	Implementation of fees. 
92	9.4 - 9.8	(§3.) TITLE 13 § 19-1305.1.	Not later than two years after the effective date of this title, the authority shall institute a system of compliance fees that reflect the index established under section 19-1303 of this title. All covered sources shall be required to pay the fee for each regulated air contaminant emitted. 
93	9.9 - 9.14	(§3.) TITLE 13 § 19-1305.2.	Notwithstanding any inconsistent provisions of the state administrative procedure act, such fee shall be established as a rule by publication in the environmental notice bulletin no later than thirty days after the budget bills making appropriations for the support of government are enacted or July first, whichever is later, of the year such fee will be effective. 
94	9.15 - 9.20	(§3.) TITLE 13 § 19-1305.3.	Bills issued for the fee shall be based on actual emissions for the prior calendar year, as demonstrated to the authority's satisfaction, or in the absence of such demonstration, on permitted emissions, or, where there is no applicable permit, on potential to emit. Persons required to submit an emissions statement to the authority shall use such statement to demonstrate actual emissions under this section. 
95	9.21 - 9.24	(§3.) TITLE 13 § 19-1305.4.	Any person required to pay fees imposed pursuant to this section may elect to base such fees on the level of permitted emissions set forth in a permit, certificate or approval issued pursuant to section 19-0311 of this article. 
96	9.25 - 9.29	(§3.) TITLE 13 § 19-1305.5.	If a city or county is delegated the authority to administer the operating permit program established pursuant to section 19-0311 of this article, it may collect the fees established pursuant to this section and no additional liability for fees under this section shall accrue for any such source. 
97	9.30 - 9.30	(§3.) TITLE 13 § 19-1307.	Allocation of revenues. 
98	9.31 - 9.34	(§3.) TITLE 13 § 19-1307.1.	"The comptroller and authority shall establish a trust fund to be known as the ""value of pollution and mitigation program fund"", consisting of such amounts as may be appropriated or credited to such fund as provided in this section. "
99	9.35 - 9.36	(§3.) TITLE 13 § 19-1307.2.(a)	Funds received under this title shall be allocated accordingly: 
100	9.37 - 9.38	(§3.) TITLE 13 § 19-1307.2.(a)(i)	forty percent of funds shall go to the environmental justice office of the authority; 
101	9.39 - 9.41	(§3.) TITLE 13 § 19-1307.2.(a)(ii)	twenty percent of funds shall go to expanding, operating and maintaining the New York state Title V emissions inventory within the department; 
102	9.42 - 9.44	(§3.) TITLE 13 § 19-1307.2.(a)(iii)	twenty percent of funds shall go to expanding, operating and maintaining air quality monitoring, including ambient air quality monitoring and point source monitoring within the department; and 
103	9.45 - 9.48	(§3.) TITLE 13 § 19-1307.2.(a)(iv)	twenty percent of funds shall be allocated at the discretion of the authority, based on the needs of the authority. No funds shall be allocated to fund police, prisons or related infrastructure. 
104	9.49 - 9.50	(§3.) TITLE 13 § 19-1307.2.(b)	The value of pollution and mitigation program fund shall be administered by the authority. 
105	9.51 - 9.54	(§3.) TITLE 13 § 19-1309.	Inventory. Not later than eighteen months after the effective date of this title, the authority shall update and publish the inventory of emissions from Title V sources to: 
106	10.1 - 10.3	(§3.) TITLE 13 § 19-1309.1.	assess the extent to which given regulated air contaminants, especially air contaminants that have highly adverse health impacts, are co-emitted with greenhouse gas emissions; 
107	10.4 - 10.6	(§3.) TITLE 13 § 19-1309.2.	assess the extent to which regulated air contaminants that have especially adverse health impacts are likely to be reduced over time as a result of: 
108	10.7 - 10.8	(§3.) TITLE 13 § 19-1309.2.(a)	the fee established in section three thousand forty of the tax law; and 
109	10.9 - 10.10	(§3.) TITLE 13 § 19-1309.2.(b)	the investment programs established in title nine-C of article eight of the public authorities law; 
110	10.11 - 10.13	(§3.) TITLE 13 § 19-1309.3.	identify and analyze emissions hotspots and cumulative burdens, pertaining to regulated air contaminants in order to prioritize emissions reductions in these areas; 
111	10.14 - 10.15	(§3.) TITLE 13 § 19-1309.4.	assess emissions and pollution-related health impacts associated with the transportation sector; and 
112	10.16 - 10.18	(§3.) TITLE 13 § 19-1309.5.	make the Title V emissions inventory more accessible to the public including, but not limited to, taking action to release the related data, analysis and assumptions of agency websites. 
113	10.19 - 10.19	(§3.) TITLE 13 § 19-1311.	Transportation pollution. 
114	10.20 - 10.24	(§3.) TITLE 13 § 19-1311.1.	Not later than one year after the effective date of this title, the commissioner, in consultation with the authority, shall prepare and approve a scoping plan outlining the authority's recommendations for accelerating the reduction of regulated air contaminants from mobile sources. 
115	10.25 - 10.26	(§3.) TITLE 13 § 19-1311.2.	The draft scoping plan shall be developed in consultation with the working group and other stakeholders. 
116	10.27 - 10.29	(§3.) TITLE 13 § 19-1311.2.(a)	The authority shall provide meaningful opportunities for public comment from all persons who will be impacted by the plan, including persons living in disadvantaged communities. 
117	10.30 - 10.33	(§3.) TITLE 13 § 19-1311.2.(b)	On or before one year after the effective date of this title, the authority shall submit the final scoping plan to the governor, the speaker of the assembly and the temporary president of the senate and post such plan on its website. 
118	10.34 - 10.35	(§3.) TITLE 13 § 19-1311.3.	The measures and actions considered in such scoping plan shall at a minimum include: 
119	10.36 - 10.37	(§3.) TITLE 13 § 19-1311.3.(a)	performance-based standards for mobile sources of regulated air contaminants; 
120	10.38 - 10.39	(§3.) TITLE 13 § 19-1311.3.(b)	market-based mechanisms to reduce emissions from mobile sources, including: 
121	10.40 - 10.40	(§3.) TITLE 13 § 19-1311.3.(b)(i)	the imposition of fees per unit of regulated air contaminant; 
122	10.41 - 10.41	(§3.) TITLE 13 § 19-1311.3.(b)(ii)	a zoned surcharge system on trucking and ports; and 
123	10.42 - 10.42	(§3.) TITLE 13 § 19-1311.3.(b)(iii)	congestion pricing; 
124	10.43 - 10.45	(§3.) TITLE 13 § 19-1311.3.(c)	the creation of low emission zones and the policies to promote zero-emission and low-emission transportation options, including the electrification of port facilities and freight transportation; and 
125	10.46 - 10.47	(§3.) TITLE 13 § 19-1311.3.(d)	land-use and transportation planning measures aimed at reducing emissions from mobile sources. 
126	10.48 - 10.53	(§3.) TITLE 13 § 19-1311.4.	No later than three years after the effective date of this title, the authority, after public workshops and consultation with the working group, representatives of regulated entities, and other stakeholders, and not less than two public hearings, shall promulgate rules and regulations to accelerate the reduction of regulated air contaminants from mobile sources. 
127	10.54 - 11.3	(§3.) TITLE 13 § 19-1311.4.(a)	The regulations promulgated by the authority pursuant to this subdivision may include legally enforceable emissions limits, performance standards, market-based mechanisms or measures or other requirements to control regulated air contaminant emissions from mobile sources. The authority is hereby authorized to establish any such policies pursuant to this section. 
128	11.4 - 11.4	(§3.) TITLE 13 § 19-1311.4.(b)	In promulgating these regulations, the authority shall: 
129	11.5 - 11.7	(§3.) TITLE 13 § 19-1311.4.(b)(i)	design and implement all regulations in a manner that seeks to be equitable, to minimize costs and to maximize the total benefits to the state; 
130	11.8 - 11.9	(§3.) TITLE 13 § 19-1311.4.(b)(ii)	ensure that emissions reductions achieved are real, quantifiable, verifiable, and enforceable by the authority; 
131	11.10 - 11.11	(§3.) TITLE 13 § 19-1311.4.(b)(iii)	ensure that activities undertaken to comply with the regulations do not disproportionately burden disadvantaged communities; 
132	11.12 - 11.13	(§3.) TITLE 13 § 19-1311.4.(b)(iv)	prioritize measures to maximize net reductions of emissions in disadvantaged communities; 
133	11.14 - 11.15	(§3.) TITLE 13 § 19-1311.4.(b)(v)	prioritize measures that encourage early action to reduce emissions; and 
134	11.16 - 11.16	(§3.) TITLE 13 § 19-1311.4.(b)(vi)	minimize emissions leakage. 
135	11.17 - 11.22	(§3.) TITLE 13 § 19-1311.5.	If any of the policies implemented by the authority pursuant to this section generate state revenue, the authority shall ensure that, at a minimum, forty percent of any funds collected are invested in a manner which will benefit disadvantaged communities, consistent with the purposes of this title. The authority shall consult with the working group in developing and carrying out such investments. 
136	11.23 - 11.23	(§3.) TITLE 13 § 19-1313.	Reporting. 
137	11.24 - 11.28	(§3.) TITLE 13 § 19-1313.1.	Not later than three years following the effective date of this title, and every two years thereafter, the authority, in partnership with the working group, shall produce a report on the implementation of the policies established under this title. Such report shall include, but not be limited to: 
