Item	Outline	Page_Lines	Text	Tokens	Keywords	Tag	Number_of_Keywords
20	4.	3.14 - 3.22	"""Controlled group"" means two or more entities treated as a single employer under section 52(a) or (b) or section 414(m) or (o) of the Internal Revenue Code. In applying subsections (a) and (b) of section 52, section 1563 of the Internal Revenue Code shall be applied without regard to subsection(b)(2)(C). For purposes of this article, entities in a controlled group are treated as a single entity for purposes of meeting the definition of responsible party and are jointly and severally liable for payment of any cost recovery demand owed by any entity in the controlled group. "	controlled, group, means, two, or, more, entities, treated, as, a, single, employer, under, section, 52, a, or, b, or, section, 414, m, or, o, of, the, internal, revenue, code, in, applying, subsections, a, and, b, of, section, 52, section, 1563, of, the, internal, revenue, code, shall, be, applied, without, regard, to, subsection, b, 2, c, for, purposes, of, this, article, entities, in, a, controlled, group, are, treated, as, a, single, entity, for, purposes, of, meeting, the, definition, of, responsible, party, and, are, jointly, and, severally, liable, for, payment, of, any, cost, recovery, demand, owed, by, any, entity, in, the, controlled, group	controlled, group, entities, treated, employer, internal, revenue, code, applying, subsections, applied, regard, subsection, purposes, article, entity, meeting, definition, responsible, jointly, severally, liable, payment, cost, recovery, demand, owed	(§3.) ARTICLE 76 § 76-0101.4.	27
21	5.	3.23 - 3.25	"""Cost recovery demand"" means a charge asserted against a responsible party for cost recovery payments under the program for payment to the fund. "	cost, recovery, demand, means, a, charge, asserted, against, a, responsible, party, for, cost, recovery, payments, under, the, program, for, payment, to, the, fund	cost, recovery, demand, charge, asserted, responsible, payments, program, payment, fund	(§3.) ARTICLE 76 § 76-0101.5.	10
22	6.	3.26 - 3.30	"""Covered greenhouse gas emissions"" means, with respect to any entity, the total quantity of greenhouse gases released into the atmosphere during the covered period, expressed in metric tons of carbon dioxide equivalent, resulting from the use of fossil fuels or petroleum products extracted, produced, refined, or sold by such entity. "	covered, greenhouse, gas, emissions, means, with, respect, to, any, entity, the, total, quantity, of, greenhouse, gases, released, into, the, atmosphere, during, the, covered, period, expressed, in, metric, tons, of, carbon, dioxide, equivalent, resulting, from, the, use, of, fossil, fuels, or, petroleum, products, extracted, produced, refined, or, sold, by, such, entity	covered, greenhouse, gas, emissions, respect, entity, total, quantity, gases, released, atmosphere, period, expressed, metric, tons, carbon, dioxide, equivalent, resulting, fossil, fuels, petroleum, products, extracted, produced, refined, sold	(§3.) ARTICLE 76 § 76-0101.6.	27
23	7.	3.31 - 3.32	"""Covered period"" means the period that began January first, two thousand and ended on December thirty-first, two thousand eighteen. "	covered, period, means, the, period, that, began, january, first, two, thousand, and, ended, on, december, thirty, first, two, thousand, eighteen	covered, period, began, january, thousand, ended, december	(§3.) ARTICLE 76 § 76-0101.7.	7
24	8.	3.33 - 3.36	"""Crude oil"" means oil or petroleum of any kind and in any form, including bitumen, oil sands, heavy oil, conventional and unconventional oil, shale oil, natural gas liquids, condensates, and related fossil fuels. "	crude, oil, means, oil, or, petroleum, of, any, kind, and, in, any, form, including, bitumen, oil, sands, heavy, oil, conventional, and, unconventional, oil, shale, oil, natural, gas, liquids, condensates, and, related, fossil, fuels	crude, oil, petroleum, kind, form, bitumen, sands, heavy, conventional, unconventional, shale, natural, gas, liquids, condensates, related, fossil, fuels	(§3.) ARTICLE 76 § 76-0101.8.	18
25	9.	3.37 - 3.41	"""Entity"" means any individual, trustee, agent, partnership, association, corporation, company, municipality, political subdivision, or other legal organization, including a foreign nation, that holds or held an ownership interest in a fossil fuel business during the covered period. "	entity, means, any, individual, trustee, agent, partnership, association, corporation, company, municipality, political, subdivision, or, other, legal, organization, including, a, foreign, nation, that, holds, or, held, an, ownership, interest, in, a, fossil, fuel, business, during, the, covered, period	entity, individual, trustee, agent, partnership, association, corporation, company, municipality, political, subdivision, legal, organization, foreign, nation, holds, held, ownership, interest, fossil, fuel, business, covered, period	(§3.) ARTICLE 76 § 76-0101.9.	24
26	10.	3.42 - 3.43	"""Fossil fuel"" shall have the same definition as in section 1-103 of the energy law. "	fossil, fuel, shall, have, the, same, definition, as, in, section, 1, 103, of, the, energy, law	fossil, fuel, definition, energy, law	(§3.) ARTICLE 76 § 76-0101.10.	5
27	11.	3.44 - 3.45	"""Fossil fuel business"" means a business engaging in the extraction of fossil fuels or the refining of petroleum products. "	fossil, fuel, business, means, a, business, engaging, in, the, extraction, of, fossil, fuels, or, the, refining, of, petroleum, products	fossil, fuel, business, engaging, extraction, fuels, refining, petroleum, products	(§3.) ARTICLE 76 § 76-0101.11.	9
28	12.	3.46 - 3.47	"""Fuel gases"" shall have the same definition as in section 1-103 of the energy law. "	fuel, gases, shall, have, the, same, definition, as, in, section, 1, 103, of, the, energy, law	fuel, gases, definition, energy, law	(§3.) ARTICLE 76 § 76-0101.12.	5
29	13.	3.48 - 3.49	"""Fund"" means the climate change adaptation fund established pursuant to section ninety-seven-k of the state finance law. "	fund, means, the, climate, change, adaptation, fund, established, pursuant, to, section, ninety, seven, k, of, the, state, finance, law	fund, climate, adaptation, established, pursuant, state, finance, law	(§3.) ARTICLE 76 § 76-0101.13.	8
30	14.	3.50 - 3.51	"""Greenhouse gas"" shall have the same definition as in section 75-0101 of this chapter. "	greenhouse, gas, shall, have, the, same, definition, as, in, section, 75, 0101, of, this, chapter	greenhouse, gas, definition, chapter	(§3.) ARTICLE 76 § 76-0101.14.	4
31	15.	3.52 - 3.54	"""Notice of cost recovery demand"" means the written communication informing a responsible party of the amount of the cost recovery demand payable to the fund. "	notice, of, cost, recovery, demand, means, the, written, communication, informing, a, responsible, party, of, the, amount, of, the, cost, recovery, demand, payable, to, the, fund	notice, cost, recovery, demand, communication, informing, responsible, amount, payable, fund	(§3.) ARTICLE 76 § 76-0101.15.	10
32	16.	3.55 - 3.56	"""Petroleum products"" shall have the same definition as in section 1-103 of the energy law. "	petroleum, products, shall, have, the, same, definition, as, in, section, 1, 103, of, the, energy, law	petroleum, products, definition, energy, law	(§3.) ARTICLE 76 § 76-0101.16.	5
33	17.	4.1 - 4.2	"""Program"" means the climate change adaptation cost recovery program established under section 76-0103 of this article. "	program, means, the, climate, change, adaptation, cost, recovery, program, established, under, section, 76, 0103, of, this, article	program, climate, adaptation, cost, recovery, established, article	(§3.) ARTICLE 76 § 76-0101.17.	7
34	18.	4.3 - 4.5	"""Qualifying expenditure"" means an authorized payment from the fund in support of a climate change adaptive infrastructure project, including its operation and maintenance, as defined by the department. "	qualifying, expenditure, means, an, authorized, payment, from, the, fund, in, support, of, a, climate, change, adaptive, infrastructure, project, including, its, operation, and, maintenance, as, defined, by, the, department	qualifying, expenditure, authorized, payment, fund, support, climate, adaptive, infrastructure, project, operation, maintenance, defined, department	(§3.) ARTICLE 76 § 76-0101.18.	14
35	19.	4.6 - 4.13	"""Responsible party"" means any entity (or a successor in interest to such entity described herein), which, during any part of the covered period, was engaged in the trade or business of extracting fossil fuel or refining crude oil and is determined by the department to be responsible for more than one billion tons of covered greenhouse gas emissions. The term responsible party shall not include any person who lacks sufficient connection with the state to satisfy the nexus requirements of the United States Constitution. "	responsible, party, means, any, entity, or, a, successor, in, interest, to, such, entity, described, herein, which, during, any, part, of, the, covered, period, was, engaged, in, the, trade, or, business, of, extracting, fossil, fuel, or, refining, crude, oil, and, is, determined, by, the, department, to, be, responsible, for, more, than, one, billion, tons, of, covered, greenhouse, gas, emissions, the, term, responsible, party, shall, not, include, any, person, who, lacks, sufficient, connection, with, the, state, to, satisfy, the, nexus, requirements, of, the, united, states, constitution	responsible, entity, successor, interest, described, herein, covered, period, engaged, trade, business, extracting, fossil, fuel, refining, crude, oil, determined, department, billion, tons, greenhouse, gas, emissions, term, lacks, sufficient, connection, state, satisfy, nexus, requirements, united, states, constitution	(§3.) ARTICLE 76 § 76-0101.19.	35
36	§ 76-0103.	4.14 - 4.14	The climate change adaptation cost recovery program. 	the, climate, change, adaptation, cost, recovery, program	climate, adaptation, cost, recovery, program	(§3.) ARTICLE 76 § 76-0103.	5
37	1.	4.15 - 4.16	There is hereby established a climate change adaptation cost recovery program administered by the department. 	there, is, hereby, established, a, climate, change, adaptation, cost, recovery, program, administered, by, the, department	hereby, established, climate, adaptation, cost, recovery, program, administered, department	(§3.) ARTICLE 76 § 76-0103.1.	9
38	2.	4.17 - 4.17	The purposes of the program shall be the following: 	the, purposes, of, the, program, shall, be, the, following	purposes, program	(§3.) ARTICLE 76 § 76-0103.2.	2
39	a.	4.18 - 4.20	To secure compensatory payments from responsible parties based on a standard of strict liability to provide a source of revenue for climate change adaptive infrastructure projects within the state. 	to, secure, compensatory, payments, from, responsible, parties, based, on, a, standard, of, strict, liability, to, provide, a, source, of, revenue, for, climate, change, adaptive, infrastructure, projects, within, the, state	secure, compensatory, payments, responsible, parties, standard, strict, liability, source, revenue, climate, adaptive, infrastructure, projects, state	(§3.) ARTICLE 76 § 76-0103.2.a.	15
40	b.	4.21 - 4.22	To determine proportional liability of responsible parties pursuant to subdivision three of this section; 	to, determine, proportional, liability, of, responsible, parties, pursuant, to, subdivision, three, of, this, section	determine, proportional, liability, responsible, parties, pursuant, subdivision	(§3.) ARTICLE 76 § 76-0103.2.b.	7
41	c.	4.23 - 4.24	To impose cost recovery demands on responsible parties and issue notices of cost recovery demands; 	to, impose, cost, recovery, demands, on, responsible, parties, and, issue, notices, of, cost, recovery, demands	impose, cost, recovery, demands, responsible, parties, issue, notices	(§3.) ARTICLE 76 § 76-0103.2.c.	8
42	d.	4.25 - 4.25	To accept and collect payment from responsible parties; 	to, accept, and, collect, payment, from, responsible, parties	accept, collect, payment, responsible, parties	(§3.) ARTICLE 76 § 76-0103.2.d.	5
43	e.	4.26 - 4.26	To identify climate change adaptive infrastructure projects; 	to, identify, climate, change, adaptive, infrastructure, projects	identify, climate, adaptive, infrastructure, projects	(§3.) ARTICLE 76 § 76-0103.2.e.	5
44	f.	4.27 - 4.28	To disperse funds to climate change adaptive infrastructure projects; and 	to, disperse, funds, to, climate, change, adaptive, infrastructure, projects, and	disperse, funds, climate, adaptive, infrastructure, projects	(§3.) ARTICLE 76 § 76-0103.2.f.	6
45	g.	4.29 - 4.32	To ensure that at least thirty-five percent of the qualified expenditures from the program shall go to climate change adaptive infrastructure projects that directly benefit disadvantaged communities as defined in section 75-0101 of this chapter. 	to, ensure, that, at, least, thirty, five, percent, of, the, qualified, expenditures, from, the, program, shall, go, to, climate, change, adaptive, infrastructure, projects, that, directly, benefit, disadvantaged, communities, as, defined, in, section, 75, 0101, of, this, chapter	ensure, qualified, expenditures, program, climate, adaptive, infrastructure, projects, directly, benefit, disadvantaged, communities, defined, chapter	(§3.) ARTICLE 76 § 76-0103.2.g.	14
46	3.	4.33 - 4.36	a. A responsible party shall be strictly liable, without regard to fault, for a share of the costs of climate change adaptive infrastructure projects, including their operation and maintenance, supported by the fund. 	a, a, responsible, party, shall, be, strictly, liable, without, regard, to, fault, for, a, share, of, the, costs, of, climate, change, adaptive, infrastructure, projects, including, their, operation, and, maintenance, supported, by, the, fund	responsible, strictly, liable, regard, fault, costs, climate, adaptive, infrastructure, projects, operation, maintenance, supported, fund	(§3.) ARTICLE 76 § 76-0103.3.	14
47	b.	4.37 - 4.41	With respect to each responsible party, the cost recovery demand shall be equal to an amount that bears the same ratio to thirty billion dollars as the responsible party's applicable share of covered greenhouse gas emissions bears to the aggregate applicable shares of covered greenhouse gas emissions of all responsible parties. 	with, respect, to, each, responsible, party, the, cost, recovery, demand, shall, be, equal, to, an, amount, that, bears, the, same, ratio, to, thirty, billion, dollars, as, the, responsible, party's, applicable, share, of, covered, greenhouse, gas, emissions, bears, to, the, aggregate, applicable, shares, of, covered, greenhouse, gas, emissions, of, all, responsible, parties	respect, responsible, cost, recovery, demand, equal, amount, bears, ratio, billion, dollars, party's, applicable, covered, greenhouse, gas, emissions, aggregate, shares, parties	(§3.) ARTICLE 76 § 76-0103.3.b.	20
48	c.	4.42 - 4.45	The applicable share of covered greenhouse gas emissions taken into account under this section for any responsible party shall be the amount by which the covered greenhouse gas emissions attributable to such responsible party exceeds one billion metric tons. 	the, applicable, share, of, covered, greenhouse, gas, emissions, taken, into, account, under, this, section, for, any, responsible, party, shall, be, the, amount, by, which, the, covered, greenhouse, gas, emissions, attributable, to, such, responsible, party, exceeds, one, billion, metric, tons	applicable, covered, greenhouse, gas, emissions, account, responsible, amount, attributable, exceeds, billion, metric, tons	(§3.) ARTICLE 76 § 76-0103.3.c.	13
49	d.	4.46 - 4.52	Where an entity owns a minority interest in another entity of ten percent or more, the calculation of the entity's applicable share of greenhouse gas emissions taken into account under this section shall include the applicable share of greenhouse gas emissions taken into account under this section by the entity in which the responsible party holds a minority interest, multiplied by the percentage of the minority interest held. 	where, an, entity, owns, a, minority, interest, in, another, entity, of, ten, percent, or, more, the, calculation, of, the, entity's, applicable, share, of, greenhouse, gas, emissions, taken, into, account, under, this, section, shall, include, the, applicable, share, of, greenhouse, gas, emissions, taken, into, account, under, this, section, by, the, entity, in, which, the, responsible, party, holds, a, minority, interest, multiplied, by, the, percentage, of, the, minority, interest, held	entity, owns, minority, interest, calculation, entity's, applicable, greenhouse, gas, emissions, account, responsible, holds, multiplied, percentage, held	(§3.) ARTICLE 76 § 76-0103.3.d.	16
50	e.	4.53 - 5.7	In determining the amount of greenhouse gas emissions attributable to any entity, an amount equivalent to nine hundred forty-two and onehalf metric tons of carbon dioxide equivalent shall be treated as released for every million pounds of coal attributable to such entity; an amount equivalent to four hundred thirty-two thousand one hundred eighty metric tons of carbon dioxide equivalent shall be treated as released for every million barrels of crude oil attributable to such entity; and an amount equivalent to fifty-three thousand four hundred forty metric tons of carbon dioxide equivalent shall be treated as released for every million cubic feet of fuel gases attributable to such entity. 	in, determining, the, amount, of, greenhouse, gas, emissions, attributable, to, any, entity, an, amount, equivalent, to, nine, hundred, forty, two, and, onehalf, metric, tons, of, carbon, dioxide, equivalent, shall, be, treated, as, released, for, every, million, pounds, of, coal, attributable, to, such, entity, an, amount, equivalent, to, four, hundred, thirty, two, thousand, one, hundred, eighty, metric, tons, of, carbon, dioxide, equivalent, shall, be, treated, as, released, for, every, million, barrels, of, crude, oil, attributable, to, such, entity, and, an, amount, equivalent, to, fifty, three, thousand, four, hundred, forty, metric, tons, of, carbon, dioxide, equivalent, shall, be, treated, as, released, for, every, million, cubic, feet, of, fuel, gases, attributable, to, such, entity	determining, amount, greenhouse, gas, emissions, attributable, entity, equivalent, hundred, onehalf, metric, tons, carbon, dioxide, treated, released, million, pounds, coal, thousand, barrels, crude, oil, cubic, feet, fuel, gases	(§3.) ARTICLE 76 § 76-0103.3.e.	27
