Item	Outline	Page_Lines	Text	Tokens	Keywords	Tag	Number_of_Keywords
11	3.	2.12 - 2.16	New York should therefore minimize the risks associated with climate change through a combination of measures to reduce statewide greenhouse gas emissions and improve the resiliency of the state with respect to the impacts and risks of climate change that cannot be avoided. 	new, york, should, therefore, minimize, the, risks, associated, with, climate, change, through, a, combination, of, measures, to, reduce, statewide, greenhouse, gas, emissions, and, improve, the, resiliency, of, the, state, with, respect, to, the, impacts, and, risks, of, climate, change, that, cannot, be, avoided	new, york, therefore, minimize, risks, associated, climate, combination, measures, reduce, statewide, greenhouse, gas, emissions, improve, resiliency, state, respect, impacts, cannot, avoided	§ 2.3.	21
12	4.	2.17 - 2.24	Climate change especially heightens the vulnerability of disadvantaged communities, including communities of color and low-income communities, which bear environmental and socioeconomic burdens as well as legacies of racial and ethnic discrimination. Disadvantaged communities are more likely to experience flooding and urban heat island effects, and to live in housing vulnerable to destruction from storms. Low-income New Yorkers lack emergency savings to keep up with necessary expenses following the disruption from a major storm or climate event. 	climate, change, especially, heightens, the, vulnerability, of, disadvantaged, communities, including, communities, of, color, and, low, income, communities, which, bear, environmental, and, socioeconomic, burdens, as, well, as, legacies, of, racial, and, ethnic, discrimination, disadvantaged, communities, are, more, likely, to, experience, flooding, and, urban, heat, island, effects, and, to, live, in, housing, vulnerable, to, destruction, from, storms, low, income, new, yorkers, lack, emergency, savings, to, keep, up, with, necessary, expenses, following, the, disruption, from, a, major, storm, or, climate, event	climate, especially, heightens, vulnerability, disadvantaged, communities, income, bear, environmental, socioeconomic, burdens, legacies, racial, ethnic, discrimination, likely, experience, flooding, urban, heat, island, effects, live, housing, vulnerable, destruction, storms, new, yorkers, lack, emergency, savings, necessary, expenses, disruption, major, storm, event	§ 2.4.	38
13	5.	2.25 - 2.31	Actions taken by New York state to reduce greenhouse gas emissions, and those taken to increase the resiliency of the state with respect to the impacts and risks of climate change, should prioritize the safety, health, and resiliency of disadvantaged communities, control potential regressive impacts of future climate change mitigation and adaptation policies on these communities, and prioritize the allocation of public investments in these areas. 	actions, taken, by, new, york, state, to, reduce, greenhouse, gas, emissions, and, those, taken, to, increase, the, resiliency, of, the, state, with, respect, to, the, impacts, and, risks, of, climate, change, should, prioritize, the, safety, health, and, resiliency, of, disadvantaged, communities, control, potential, regressive, impacts, of, future, climate, change, mitigation, and, adaptation, policies, on, these, communities, and, prioritize, the, allocation, of, public, investments, in, these, areas	actions, new, york, state, reduce, greenhouse, gas, emissions, increase, resiliency, respect, impacts, risks, climate, prioritize, safety, health, disadvantaged, communities, control, potential, regressive, future, mitigation, adaptation, policies, allocation, public, investments, areas	§ 2.5.	30
14	6.	2.32 - 2.35	Disadvantaged communities in New York state experience greater exposure to air pollution and subsequent negative health impacts, in large part due to legacies of racial, ethnic, and socio-economic discrimination. New York's communities of color are more likely to: 	disadvantaged, communities, in, new, york, state, experience, greater, exposure, to, air, pollution, and, subsequent, negative, health, impacts, in, large, part, due, to, legacies, of, racial, ethnic, and, socio, economic, discrimination, new, york's, communities, of, color, are, more, likely, to	disadvantaged, communities, new, york, state, experience, greater, exposure, air, pollution, subsequent, negative, health, impacts, legacies, racial, ethnic, socio, economic, discrimination, york's, likely	§ 2.6.	22
15	(a)	2.36 - 2.38	live near sites of high pollution, including power plants, highly trafficked automotive routes, waste transfer stations,        landfills, hazardous waste sites and toxic industrial facilities; 	live, near, sites, of, high, pollution, including, power, plants, highly, trafficked, automotive, routes, waste, transfer, stations, landfills, hazardous, waste, sites, and, toxic, industrial, facilities	live, near, sites, pollution, power, plants, highly, trafficked, automotive, routes, waste, transfer, stations, landfills, hazardous, toxic, industrial, facilities	§ 2.6.(a)	18
16	(b)	2.39 - 2.40	breathe in a greater volume of pollution, including both ozone and particulate matter; 	breathe, in, a, greater, volume, of, pollution, including, both, ozone, and, particulate, matter	breathe, greater, volume, pollution, ozone, particulate, matter	§ 2.6.(b)	7
17	(c)	2.41 - 2.42	experience asthma and other pollution-related illnesses including increased hospitalization rates for childhood asthma; 	experience, asthma, and, other, pollution, related, illnesses, including, increased, hospitalization, rates, for, childhood, asthma	experience, asthma, pollution, related, illnesses, increased, hospitalization, rates, childhood	§ 2.6.(c)	9
18	(d)	2.43 - 2.45	have higher rates of cancer due to disproportionate exposure to air pollution, including lung cancer and other pollution-affiliated cancers; and 	have, higher, rates, of, cancer, due, to, disproportionate, exposure, to, air, pollution, including, lung, cancer, and, other, pollution, affiliated, cancers, and	rates, cancer, disproportionate, exposure, air, pollution, lung, affiliated, cancers	§ 2.6.(d)	9
19	(e)	2.46 - 2.49	experience other negative health impacts, including but not limited to reduced fertility rates, adverse pregnancy outcomes and increased vulnerability to the consequences of co-morbidities like diabetes and high blood pressure. 	experience, other, negative, health, impacts, including, but, not, limited, to, reduced, fertility, rates, adverse, pregnancy, outcomes, and, increased, vulnerability, to, the, consequences, of, co, morbidities, like, diabetes, and, high, blood, pressure	experience, negative, health, impacts, limited, reduced, fertility, rates, adverse, pregnancy, outcomes, increased, vulnerability, consequences, morbidities, diabetes, blood, pressure	§ 2.6.(e)	18
20	7.	2.50 - 3.2	In the spring of 2020, New York experienced the devastating impacts of the Covid-19 pandemic. Tens of thousands of New Yorkers died, and many hundreds of thousands more became ill. Air pollution played a significant role in this pandemic, as residents of communities of color who live in highly polluted areas died disproportionately from Covid-19 when compared to patients from less polluted neighborhoods. Throughout the pandemic, New Yorkers of color continue to disproportionately contract, fall ill, and die from Covid-19, in part because of disproportionate exposure to toxic air pollution. 	in, the, spring, of, 2020, new, york, experienced, the, devastating, impacts, of, the, covid, 19, pandemic, tens, of, thousands, of, new, yorkers, died, and, many, hundreds, of, thousands, more, became, ill, air, pollution, played, a, significant, role, in, this, pandemic, as, residents, of, communities, of, color, who, live, in, highly, polluted, areas, died, disproportionately, from, covid, 19, when, compared, to, patients, from, less, polluted, neighborhoods, throughout, the, pandemic, new, yorkers, of, color, continue, to, disproportionately, contract, fall, ill, and, die, from, covid, 19, in, part, because, of, disproportionate, exposure, to, toxic, air, pollution	spring, new, york, experienced, devastating, impacts, covid, pandemic, tens, thousands, yorkers, died, hundreds, became, ill, air, pollution, played, significant, role, residents, communities, live, highly, polluted, areas, disproportionately, compared, patients, neighborhoods, throughout, continue, contract, fall, die, disproportionate, exposure, toxic	§ 2.7.	38
21	8.	3.3 - 3.13	The Covid-19 pandemic has also caused a national economic crisis which has also severely impacted New York State. Many New Yorkers lost their jobs during the Covid-19 pandemic, with unemployment rates reaching levels not seen since the Great Depression. Such mass job loss increased precarity for thousands of New Yorkers and left many less able to weather current or future emergencies. Child and dependent care shortages are and continue to be a barrier to work in New York, especially for women, who disproportionately take on unpaid caregiving responsibilities when their family cannot find or afford child and dependent care. Low and middle-income families and families of color disproportionately lack access to quality child and dependent care. 	the, covid, 19, pandemic, has, also, caused, a, national, economic, crisis, which, has, also, severely, impacted, new, york, state, many, new, yorkers, lost, their, jobs, during, the, covid, 19, pandemic, with, unemployment, rates, reaching, levels, not, seen, since, the, great, depression, such, mass, job, loss, increased, precarity, for, thousands, of, new, yorkers, and, left, many, less, able, to, weather, current, or, future, emergencies, child, and, dependent, care, shortages, are, and, continue, to, be, a, barrier, to, work, in, new, york, especially, for, women, who, disproportionately, take, on, unpaid, caregiving, responsibilities, when, their, family, cannot, find, or, afford, child, and, dependent, care, low, and, middle, income, families, and, families, of, color, disproportionately, lack, access, to, quality, child, and, dependent, care	covid, pandemic, caused, national, economic, crisis, severely, impacted, new, york, state, yorkers, lost, jobs, unemployment, rates, reaching, levels, seen, depression, mass, job, loss, increased, precarity, thousands, weather, future, emergencies, child, dependent, shortages, continue, barrier, work, especially, women, disproportionately, unpaid, caregiving, responsibilities, family, cannot, afford, middle, income, families, lack, access, quality	§ 2.8.	50
22	9.	3.14 - 3.26	New York state has an interest in reducing air pollution that increases risk for Covid-19 and ensuring that all populations are equally able to breathe clean air and live healthful lives. Actions undertaken by New York to reduce air pollution should prioritize the health and safety of disadvantaged communities, prioritize the allocation of public investments in these areas, and control potential regressive impacts of climate policies on these communities. Further, it is in the interest of the state to invest in creating stable and safe employment opportunities for individuals who have lost their jobs as part of the Covid-19 recession. This includes protecting and promoting the ability for all workers to equitably participate in a just clean energy transition by increasing equitable and comprehensive access to child and dependent care. 	new, york, state, has, an, interest, in, reducing, air, pollution, that, increases, risk, for, covid, 19, and, ensuring, that, all, populations, are, equally, able, to, breathe, clean, air, and, live, healthful, lives, actions, undertaken, by, new, york, to, reduce, air, pollution, should, prioritize, the, health, and, safety, of, disadvantaged, communities, prioritize, the, allocation, of, public, investments, in, these, areas, and, control, potential, regressive, impacts, of, climate, policies, on, these, communities, further, it, is, in, the, interest, of, the, state, to, invest, in, creating, stable, and, safe, employment, opportunities, for, individuals, who, have, lost, their, jobs, as, part, of, the, covid, 19, recession, this, includes, protecting, and, promoting, the, ability, for, all, workers, to, equitably, participate, in, a, just, clean, energy, transition, by, increasing, equitable, and, comprehensive, access, to, child, and, dependent, care	new, york, state, interest, reducing, air, pollution, increases, risk, covid, ensuring, populations, equally, breathe, clean, live, healthful, lives, actions, undertaken, reduce, prioritize, health, safety, disadvantaged, communities, allocation, public, investments, areas, control, potential, regressive, impacts, climate, policies, invest, creating, stable, safe, employment, opportunities, individuals, lost, jobs, recession, protecting, promoting, ability, workers, equitably, participate, energy, transition, increasing, equitable, comprehensive, access, child, dependent	§ 2.9.	60
23	10.	3.27 - 3.35	Racial justice and environmental justice are inextricably linked to achieving a just clean energy transition in New York. The murder of George Floyd on May 25, 2020 was followed by mass protests for Black lives in New York state and throughout the nation. These movements have forced a national reckoning with the fact that racial injustice has resulted in over-policing and mass incarceration of communities of color. It is in the interest of the state of New York that no funds from programs for pricing greenhouse gas emissions are invested in police, prisons or related infrastructure. 	racial, justice, and, environmental, justice, are, inextricably, linked, to, achieving, a, just, clean, energy, transition, in, new, york, the, murder, of, george, floyd, on, may, 25, 2020, was, followed, by, mass, protests, for, black, lives, in, new, york, state, and, throughout, the, nation, these, movements, have, forced, a, national, reckoning, with, the, fact, that, racial, injustice, has, resulted, in, over, policing, and, mass, incarceration, of, communities, of, color, it, is, in, the, interest, of, the, state, of, new, york, that, no, funds, from, programs, for, pricing, greenhouse, gas, emissions, are, invested, in, police, prisons, or, related, infrastructure	racial, justice, environmental, inextricably, linked, achieving, clean, energy, transition, new, york, murder, george, floyd, may, followed, mass, protests, black, lives, state, throughout, nation, movements, forced, national, reckoning, injustice, resulted, policing, incarceration, communities, interest, funds, programs, pricing, greenhouse, gas, emissions, invested, police, prisons, related, infrastructure	§ 2.10.	44
24	11.	3.36 - 3.42	The adverse impacts of climate change are having a detrimental effect on some of New York's largest industries, including agriculture, commercial shipping, forestry, tourism, and recreational and commercial fishing. These impacts also place additional strain on the physical infrastructure that delivers critical services to the citizens of New York, including the state's energy, transportation, stormwater, and wastewater infrastructure. 	the, adverse, impacts, of, climate, change, are, having, a, detrimental, effect, on, some, of, new, york's, largest, industries, including, agriculture, commercial, shipping, forestry, tourism, and, recreational, and, commercial, fishing, these, impacts, also, place, additional, strain, on, the, physical, infrastructure, that, delivers, critical, services, to, the, citizens, of, new, york, including, the, state's, energy, transportation, stormwater, and, wastewater, infrastructure	adverse, impacts, climate, detrimental, effect, new, york's, largest, industries, agriculture, commercial, shipping, forestry, tourism, recreational, fishing, strain, physical, infrastructure, delivers, critical, services, citizens, york, state's, energy, transportation, stormwater, wastewater	§ 2.11.	29
25	12.	3.43 - 3.49	Creating good jobs and a thriving economy is a core concern of New York state. Shaping the ongoing transition in our energy sector to ensure that it creates good jobs and protects workers and communities that may lose employment in the current transition must be key concerns of our climate policy. Setting clear standards for job quality and training standards encourages not only high-quality work but positive economic impacts. 	creating, good, jobs, and, a, thriving, economy, is, a, core, concern, of, new, york, state, shaping, the, ongoing, transition, in, our, energy, sector, to, ensure, that, it, creates, good, jobs, and, protects, workers, and, communities, that, may, lose, employment, in, the, current, transition, must, be, key, concerns, of, our, climate, policy, setting, clear, standards, for, job, quality, and, training, standards, encourages, not, only, high, quality, work, but, positive, economic, impacts	creating, jobs, thriving, economy, core, concern, new, york, state, shaping, ongoing, transition, energy, sector, ensure, creates, protects, workers, communities, may, lose, employment, concerns, climate, policy, setting, standards, job, quality, training, encourages, work, positive, economic, impacts	§ 2.12.	35
26	13.	3.50 - 4.6	Ensuring career opportunities are created and shared geographically and demographically is necessary to ensure increased access to good jobs for marginalized communities while making the same neighborhoods more resilient. Climate change has a disproportionate impact on low-income people, communities of color, women, youth, children and workers. This includes formerly incarcerated individuals. Disadvantaged communities and workers must have access to all aspects of the state's clean energy economy, including as investors and developers of clean energy projects.     It is in the interest of the state of New York to protect and promote the interests of these groups against the impacts of climate change and severe weather events and to advance our equity goals by ensuring quality employment opportunities in safe working environments. 	ensuring, career, opportunities, are, created, and, shared, geographically, and, demographically, is, necessary, to, ensure, increased, access, to, good, jobs, for, marginalized, communities, while, making, the, same, neighborhoods, more, resilient, climate, change, has, a, disproportionate, impact, on, low, income, people, communities, of, color, women, youth, children, and, workers, this, includes, formerly, incarcerated, individuals, disadvantaged, communities, and, workers, must, have, access, to, all, aspects, of, the, state's, clean, energy, economy, including, as, investors, and, developers, of, clean, energy, projects, it, is, in, the, interest, of, the, state, of, new, york, to, protect, and, promote, the, interests, of, these, groups, against, the, impacts, of, climate, change, and, severe, weather, events, and, to, advance, our, equity, goals, by, ensuring, quality, employment, opportunities, in, safe, working, environments	ensuring, career, opportunities, shared, geographically, demographically, necessary, ensure, increased, access, jobs, marginalized, communities, neighborhoods, resilient, climate, disproportionate, impact, income, women, youth, children, workers, formerly, incarcerated, individuals, disadvantaged, aspects, state's, clean, energy, economy, investors, developers, projects, interest, state, new, york, protect, promote, interests, impacts, severe, weather, events, advance, equity, goals, quality, employment, safe, working, environments	§ 2.13.	54
27	14.	4.7 - 4.15	Addressing climate change challenges through the expansion and growth of clean and renewable energy sources requires New York to make substantial proprietary and financial investments in this sector and to become an investor and partner in the development of renewable energy programs and projects. New York has long provided forms of state assistance, including grants, energy credits, or tax incentives to developers, project owners and other entities proposing clean and renewable energy projects. Key findings relating to state assistance in the clean and renewable energy sector are as follows: 	addressing, climate, change, challenges, through, the, expansion, and, growth, of, clean, and, renewable, energy, sources, requires, new, york, to, make, substantial, proprietary, and, financial, investments, in, this, sector, and, to, become, an, investor, and, partner, in, the, development, of, renewable, energy, programs, and, projects, new, york, has, long, provided, forms, of, state, assistance, including, grants, energy, credits, or, tax, incentives, to, developers, project, owners, and, other, entities, proposing, clean, and, renewable, energy, projects, key, findings, relating, to, state, assistance, in, the, clean, and, renewable, energy, sector, are, as, follows	addressing, climate, challenges, expansion, growth, clean, renewable, energy, sources, requires, new, york, substantial, proprietary, financial, investments, sector, investor, partner, development, programs, projects, forms, state, assistance, grants, credits, tax, incentives, developers, project, owners, entities, proposing, findings, relating, follows	§ 2.14.	37
28	(a)	4.16 - 4.28	providing forms of state assistance in renewable energy projects results in New York becoming a co-investor in this sector with strong financial, proprietary interests in the projects it supports. Such assistance is essential since the expansion and development of this market, would not occur at the scale and pace needed without substantial financial investment by the state. New York has already invested billions of dollars in promoting its renewable energy programs and will continue to invest substantial sums over the next several years to assist the growth and development of the sector. Such investments are critical not only for the development of individual renewable energy projects, but also to ensure that projects are effectively planned and executed and produce adequate amounts of clean energy needed to meet the state's future needs for safe, affordable reliable power; 	providing, forms, of, state, assistance, in, renewable, energy, projects, results, in, new, york, becoming, a, co, investor, in, this, sector, with, strong, financial, proprietary, interests, in, the, projects, it, supports, such, assistance, is, essential, since, the, expansion, and, development, of, this, market, would, not, occur, at, the, scale, and, pace, needed, without, substantial, financial, investment, by, the, state, new, york, has, already, invested, billions, of, dollars, in, promoting, its, renewable, energy, programs, and, will, continue, to, invest, substantial, sums, over, the, next, several, years, to, assist, the, growth, and, development, of, the, sector, such, investments, are, critical, not, only, for, the, development, of, individual, renewable, energy, projects, but, also, to, ensure, that, projects, are, effectively, planned, and, executed, and, produce, adequate, amounts, of, clean, energy, needed, to, meet, the, state's, future, needs, for, safe, affordable, reliable, power	providing, forms, state, assistance, renewable, energy, projects, results, new, york, becoming, investor, sector, strong, financial, proprietary, interests, supports, essential, expansion, development, market, occur, scale, pace, needed, substantial, investment, invested, billions, dollars, promoting, programs, continue, invest, sums, years, assist, growth, investments, critical, individual, ensure, effectively, planned, executed, produce, adequate, amounts, clean, state's, future, needs, safe, affordable, reliable, power	§ 2.14.(a)	57
29	(b)	4.29 - 4.33	it is vital that the state's investments in clean and renewable energy be protected and monitored through all stages of development to make certain that they are effective in producing the intended results. The need for this protection has grown greater due to the enormous economic burden imposed on the state by the Covid-19 pandemic; 	it, is, vital, that, the, state's, investments, in, clean, and, renewable, energy, be, protected, and, monitored, through, all, stages, of, development, to, make, certain, that, they, are, effective, in, producing, the, intended, results, the, need, for, this, protection, has, grown, greater, due, to, the, enormous, economic, burden, imposed, on, the, state, by, the, covid, 19, pandemic	vital, state's, investments, clean, renewable, energy, protected, monitored, stages, development, certain, effective, producing, intended, results, protection, grown, greater, enormous, economic, burden, imposed, state, covid, pandemic	§ 2.14.(b)	25
30	(c)	4.34 - 4.44	one of the areas in need of most protection is the actual construction and operation of renewable energy projects, especially large-scale projects. Because the construction industry is inherently complex and challenging, the delivery of projects, especially large capital construction projects, is fraught with numerous high-level risks that stem from various sources. These include but are not limited to project funding, financial resources and stability of project partners, project designs and specifications. Risks also include site conditions, equipment and material supply chains, and the experience, capacity and technical qualifications of developers, contractors and craft labor personnel used for a given project; 	one, of, the, areas, in, need, of, most, protection, is, the, actual, construction, and, operation, of, renewable, energy, projects, especially, large, scale, projects, because, the, construction, industry, is, inherently, complex, and, challenging, the, delivery, of, projects, especially, large, capital, construction, projects, is, fraught, with, numerous, high, level, risks, that, stem, from, various, sources, these, include, but, are, not, limited, to, project, funding, financial, resources, and, stability, of, project, partners, project, designs, and, specifications, risks, also, include, site, conditions, equipment, and, material, supply, chains, and, the, experience, capacity, and, technical, qualifications, of, developers, contractors, and, craft, labor, personnel, used, for, a, given, project	areas, protection, actual, construction, operation, renewable, energy, projects, especially, scale, industry, inherently, complex, challenging, delivery, capital, fraught, numerous, level, risks, stem, sources, limited, project, funding, financial, resources, stability, partners, designs, specifications, conditions, equipment, material, supply, chains, experience, capacity, technical, qualifications, developers, contractors, craft, labor, personnel	§ 2.14.(c)	45
31	(d)	4.45 - 5.2	ensuring the sufficient supply of properly trained and qualified craft labor personnel is vital to the protection of state interests and investments in the renewable energy sector. Large-scale construction projects are both labor intensive and inherently dangerous operations. The timely, successful delivery of these projects is critical to the delivery of safe and reliable power to consumers. Thus, the safe and successful completion of these projects necessitates a highly skilled workforce. It is critical that the state support the development of this workforce, as the construction industry generally is facing the most acute, widespread skill shortage in craft labor personnel in modern times. This shortage can cause various types of project failures, including major schedule delays, cost-overruns, increased safety incidents, or other serious problems; 	ensuring, the, sufficient, supply, of, properly, trained, and, qualified, craft, labor, personnel, is, vital, to, the, protection, of, state, interests, and, investments, in, the, renewable, energy, sector, large, scale, construction, projects, are, both, labor, intensive, and, inherently, dangerous, operations, the, timely, successful, delivery, of, these, projects, is, critical, to, the, delivery, of, safe, and, reliable, power, to, consumers, thus, the, safe, and, successful, completion, of, these, projects, necessitates, a, highly, skilled, workforce, it, is, critical, that, the, state, support, the, development, of, this, workforce, as, the, construction, industry, generally, is, facing, the, most, acute, widespread, skill, shortage, in, craft, labor, personnel, in, modern, times, this, shortage, can, cause, various, types, of, project, failures, including, major, schedule, delays, cost, overruns, increased, safety, incidents, or, other, serious, problems	ensuring, sufficient, supply, properly, trained, qualified, craft, labor, personnel, vital, protection, state, interests, investments, renewable, energy, sector, scale, construction, projects, intensive, inherently, dangerous, operations, timely, successful, delivery, critical, safe, reliable, power, consumers, thus, completion, necessitates, highly, skilled, workforce, support, development, industry, generally, facing, acute, widespread, skill, shortage, modern, cause, types, project, failures, major, schedule, delays, cost, overruns, increased, safety, incidents, serious, problems	§ 2.14.(d)	62
32	(e)	5.3 - 5.16	while many aspects of construction project planning cannot be controlled, ensuring the adequate supply of properly trained craft personnel can be effectively managed through the use of labor performance tools and policies. Key labor performance provisions include prevailing wage requirements, project labor agreements and responsible contractor provisions. These policies, in use in New York and throughout the country, are shown to be effective at protecting capital investments and the proprietary interests of investors. These tools also help ensure that adequate numbers of skilled craft personnel are deployed to projects in a timely manner and that the most highly qualified contractors will be attracted to such projects. These tools also protect the wage rates of local communities, promote adherence to required licensing and technical certifications, and maintain labor peace on projects to avoid disruptions and protect project delivery; 	while, many, aspects, of, construction, project, planning, cannot, be, controlled, ensuring, the, adequate, supply, of, properly, trained, craft, personnel, can, be, effectively, managed, through, the, use, of, labor, performance, tools, and, policies, key, labor, performance, provisions, include, prevailing, wage, requirements, project, labor, agreements, and, responsible, contractor, provisions, these, policies, in, use, in, new, york, and, throughout, the, country, are, shown, to, be, effective, at, protecting, capital, investments, and, the, proprietary, interests, of, investors, these, tools, also, help, ensure, that, adequate, numbers, of, skilled, craft, personnel, are, deployed, to, projects, in, a, timely, manner, and, that, the, most, highly, qualified, contractors, will, be, attracted, to, such, projects, these, tools, also, protect, the, wage, rates, of, local, communities, promote, adherence, to, required, licensing, and, technical, certifications, and, maintain, labor, peace, on, projects, to, avoid, disruptions, and, protect, project, delivery	aspects, construction, project, planning, cannot, controlled, ensuring, adequate, supply, properly, trained, craft, personnel, effectively, managed, labor, performance, tools, policies, provisions, prevailing, wage, requirements, agreements, responsible, contractor, new, york, throughout, country, shown, effective, protecting, capital, investments, proprietary, interests, investors, ensure, numbers, skilled, deployed, projects, timely, manner, highly, qualified, contractors, attracted, protect, rates, local, communities, promote, adherence, required, licensing, technical, certifications, maintain, peace, avoid, disruptions, delivery	§ 2.14.(e)	64
33	(f)	5.17 - 5.26	project labor agreements promote the planning         and   timely completion of construction projects, especially larger scale projects, by establishing pre-determined and uniform employment terms. This ensures an adequate supply of properly trained craft personnel, creates stability for project planning and prevents labor disruptions. Responsible contractor policies help ensure that contractors and subcontractors used for projects are reputable, qualified firms that have sufficient resources and capabilities needed to perform the work successfully. Prevailing wage requirements protect local area wage rates from being undermined; and 	project, labor, agreements, promote, the, planning, and, timely, completion, of, construction, projects, especially, larger, scale, projects, by, establishing, pre, determined, and, uniform, employment, terms, this, ensures, an, adequate, supply, of, properly, trained, craft, personnel, creates, stability, for, project, planning, and, prevents, labor, disruptions, responsible, contractor, policies, help, ensure, that, contractors, and, subcontractors, used, for, projects, are, reputable, qualified, firms, that, have, sufficient, resources, and, capabilities, needed, to, perform, the, work, successfully, prevailing, wage, requirements, protect, local, area, wage, rates, from, being, undermined, and	project, labor, agreements, promote, planning, timely, completion, construction, projects, especially, larger, scale, establishing, pre, determined, uniform, employment, terms, ensures, adequate, supply, properly, trained, craft, personnel, creates, stability, prevents, disruptions, responsible, contractor, policies, ensure, contractors, subcontractors, reputable, qualified, firms, sufficient, resources, capabilities, needed, perform, work, successfully, prevailing, wage, requirements, protect, local, area, rates, undermined	§ 2.14.(f)	53
