Item	Page_Lines	Para	Text
12	7.14 - 7.51	§ 2.(vii)	For taxable years     beginning in two thousand twenty-four the following rates shall apply: If the New York taxable income is:    The tax is: Not over $12,800                      4% of the New York taxable income Over $12,800 but not over $17,650     $512 plus 4.5% of excess over $12,800 Over $17,650 but not over $20,900     $730 plus 5.25% of excess over $17,650 Over $20,900 but not over $107,650    $901 plus 5.61% of excess over $20,900 Over $107,650 but not over $269,300   $5,768 plus 6.09% of excess over $107,650 Over $269,300 but not over            $15,612 plus 6.85% of excess [$1,616,450] $450,000                 over $269,300 Over [$1,616,450                      $107,892 plus 8.82% of excess over $1,616,450] $450,000 but not over $600,000   $27,990 plus 7.5% of excess over $450,000 Over $600,000 but not over $700,000   $39,240 plus 8% of excess over $600,000 Over $700,000 but not over $800,000   $47,240 plus 8.5% of excess over $700,000 Over $800,000 but not over $900,000   $55,740 plus 9% of excess over $800,000 Over $900,000 but not over $1,000,000 $64,740 plus 9.5% of excess over $900,000 Over $1,000,000 but not over          $74,240 plus 10% of excess over $1,100,000 $1,000,000 Over $1,100,000 but not over          $84,240 plus 11% of excess over $1,200,000 $1,100,000 Over $1,200,000 but not over          $95,240 plus 12% of excess over $5,500,000 $1,200,000 Over $5,500,000 but not over          $611,240 plus 13% of excess over $11,000,000 $5,500,000 Over $11,000,000 but not over         $1,326,240 plus 14% of excess over $110,000,000 $11,000,000 Over $110,000,000                     $15,186,240 plus 15% of excess over $110,000,000 
13	7.52 - 8.31	§ 2.(viii)	For taxable years beginning after two thousand twenty-four the following rates shall apply: If the New York taxable income is:    The tax is: Not over $12,800                      4% of the New York taxable income Over $12,800 but not over $17,650     $512 plus 4.5% of excess over $12,800 Over $17,650 but not over $20,900     $730 plus 5.25% of excess over $17,650 Over $20,900 but not over $107,650    $901 plus 5.5% of excess over $20,900 Over $107,650 but not over $269,300   $5,672 plus 6.00% of excess over $107,650 Over $269,300 but not over            $15,371 plus 6.85% of excess over $450,000 $269,300 Over $450,000 but not over $600,000   $27,749 plus 7.5% of excess over $450,000 Over $600,000 but not over $700,000   $38,999 plus 8% of excess over $600,000 Over $700,000 but not over $800,000   $46,999 plus 8.5% of excess over $700,000 Over $800,000 but not over $900,000   $55,499 plus 9% of excess over $800,000 Over $900,000 but not over $1,000,000 $64,499 plus 9.5% of excess over $900,000 Over $1,000,000 but not over          $73,999 plus 10% of excess over $1,100,000 $1,000,000 Over $1,100,000 but not over          $83,999 plus 11% of excess over $1,200,000 $1,100,000 Over $1,200,000 but not over          $94,999 plus 12% of excess over $5,500,000 $1,200,000 Over $5,500,000 but not over          $610,999 plus 13% of excess over $11,000,000 $5,500,000 Over $11,000,000 but not over         $1,325,999 plus 14% of excess over $110,000,000 $11,000,000 Over $110,000,000                     $15,185,999 plus 15% of excess over $110,000,000 
14	8.32 - 8.36	§ 3.	Clauses (iv), (v), (vi), (vii) and (viii) of subparagraph (B) of paragraph 1 of subsection (c) of section 601 of the tax law, clauses (iv), (v), (vi) and (vii) as amended by section 3 of part P of chapter 59 of the laws of 2019, and clause (viii) as added by section 3 of part R of chapter 59 of the laws of 2017, are amended to read as follows: 
15	8.37 - 9.21	§ 3.(iv)	For taxable years beginning in two thousand twenty-one the following rates shall apply: If the New York taxable income is:    The tax is: Not over $8,500                       4% of the New York taxable income Over $8,500 but not over $11,700      $340 plus 4.5% of excess over $8,500 Over $11,700 but not over $13,900     $484 plus 5.25% of excess over $11,700 Over $13,900 but not over $21,400     $600 plus 5.9% of excess over $13,900 Over $21,400 but not over $80,650     $1,042 plus 5.97% of excess over $21,400 Over $80,650 but not over $215,400    $4,579 plus 6.33% of excess over $80,650 Over $215,400 but not over            $13,109 plus 6.85% of excess [$1,077,550] $300,000                 over $215,400 Over [$1,077,550                      $72,166 plus 8.82% of excess over $1,077,550] $300,000 but not over $400,000   $18,904 plus 7.5% of excess over $300,000 Over $400,000 but not over $500,000   $26,404 plus 8% of excess over $400,000 Over $500,000 but not over $600,000   $34,404 plus 8.5% of excess over $500,000 Over $600,000 but not over $700,000   $42,904 plus 9% of excess over $600,000 Over $700,000 but not over $800,000   $51,904 plus 9.5% of excess over $700,000 Over $800,000 but not over $900,000   $61,404 plus 10% of excess over $800,000 Over $900,000 but not over            $71,404 plus 11% of excess over $1,000,000 $900,000 Over $1,000,000 but not over          $82,404 plus 12% of excess over $5,000,000 $1,000,000 Over $5,000,000 but not over          $562,404 plus 13% of excess over $10,000,000 $5,000,000 Over $10,000,000 but not over         $1,212,404 plus 14% of excess over $100,000,000 $10,000,000 Over $100,000,000                     $13,812,404 plus 15% of excess over $100,000,000 
16	9.22 - 10.3	§ 3.(v)	For taxable years beginning in two thousand twenty-two the following rates shall apply: If the New York taxable income is:    The tax is: Not over $8,500                       4% of the New York taxable income Over $8,500 but not over $11,700      $340 plus 4.5% of excess over $8,500 Over $11,700 but not over $13,900     $484 plus 5.25% of excess over $11,700 Over $13,900 but not over $80,650     $600 plus 5.85% of excess over $13,900 Over $80,650 but not over $215,400    $4,504 plus 6.25% of excess over $80,650 Over $215,400 but not over            $12,926 plus 6.85% of excess [$1,077,550] $300,000                 over $215,400 Over [$1,077,550                      $71,984 plus 8.82% of excess over $1,077,550] $300,000 but not over $400,000   $18,721 plus 7.5% of excess over $300,000 Over $400,000 but not over $500,000   $26,221 plus 8% of excess over $400,000 Over $500,000 but not over $600,000   $34,221 plus 8.5% of excess over $500,000 Over $600,000 but not over $700,000   $42,721 plus 9% of excess over $600,000 Over $700,000 but not over $800,000   $51,721 plus 9.5% of excess over $700,000 Over $800,000 but not over $900,000   $61,221 plus 10% of excess over $800,000 Over $900,000 but not over            $71,221 plus 11% of excess over $1,000,000 $900,000 Over $1,000,000 but not over          $82,221 plus 12% of excess over $5,000,000 $1,000,000 Over $5,000,000 but not over          $562,221 plus 13% of excess over $10,000,000 $5,000,000 Over $10,000,000 but not over         $1,212,221 plus 14% of excess over $100,000,000 $10,000,000 Over $100,000,000                       $13,812,221 plus 15% of excess over $100,000,000 
17	10.4 - 10.41	§ 3.(vi)	For taxable years      beginning in two thousand twenty-three the following rates shall apply: If the New York taxable income is:      The tax is: Not over $8,500                         4% of the New York taxable income Over $8,500 but not over $11,700        $340 plus 4.5% of excess over $8,500 Over $11,700 but not over $13,900       $484 plus 5.25% of excess over $11,700 Over $13,900 but not over $80,650       $600 plus 5.73% of excess over $13,900 Over $80,650 but not over $215,400      $4,424 plus 6.17% of excess over $80,650 Over $215,400 but not over              $12,738 plus 6.85% of excess [$1,077,550] $300,000                   over $215,400 Over [$1,077,550                        $71,796 plus 8.82% of excess over $1,077,550] $300,000 but not over $400,000     $18,533 plus 7.5% of excess over $300,000 Over $400,000 but not over $500,000     $26,033 plus 8% of excess over $400,000 Over $500,000 but not over $600,000     $34,033 plus 8.5% of excess over $500,000 Over $600,000 but not over $700,000     $42,533 plus 9% of excess over $600,000 Over $700,000 but not over $800,000     $51,533 plus 9.5% of excess over $700,000 Over $800,000 but not over $900,000     $61,033 plus 10% of excess over $800,000 Over $900,000 but not over              $71,033 plus 11% of excess over $1,000,000 $900,000 Over $1,000,000 but not over            $82,033 plus 12% of excess over $5,000,000 $1,000,000 Over $5,000,000 but not over            $562,033 plus 13% of excess over $10,000,000 $5,000,000 Over $10,000,000 but not over           $1,212,033 plus 14% of excess over $100,000,000 $10,000,000 Over $100,000,000                       $13,812,033 plus 15% of excess over $100,000,000 
18	10.42 - 11.23	§ 3.(vii)	For taxable years beginning    in two thousand twenty-four the following rates shall apply: If the New York taxable income is:      The tax is: Not over $8,500                         4% of the New York taxable income Over $8,500 but not over $11,700        $340 plus 4.5% of excess over $8,500 Over $11,700 but not over $13,900       $484 plus 5.25% of excess over $11,700 Over $13,900 but not over $80,650       $600 plus 5.61% of excess over $13,900 Over $80,650 but not over $215,400      $4,344 plus 6.09% of excess over $80,650 Over $215,400 but not over              $12,550 plus 6.85% of excess [$1,077,550] $300,000                   over $215,400 Over [$1,077,550                        $71,608 plus 8.82% of excess over $1,077,550] $300,000 but not over $400,000    $18,345 plus 7.5% of excess over $300,000 Over $400,000 but not over $500,000    $25,845 plus 8% of excess over $400,000 Over $500,000 but not over $600,000    $33,845 plus 8.5% of excess over $500,000 Over $600,000 but not over $700,000    $42,345 plus 9% of excess over $600,000 Over $700,000 but not over $800,000    $51,345 plus 9.5% of excess over $700,000 Over $800,000 but not over $900,000    $60,845 plus 10% of excess over $800,000 Over $900,000 but not over             $70,845 plus 11% of excess over $1,000,000 $900,000 Over $1,000,000 but not over           $81,845 plus 12% of excess over $5,000,000 $1,000,000 Over $5,000,000 but not over           $561,845 plus 13% of excess over $10,000,000 $5,000,000 Over $10,000,000 but not over          $1,211,845 plus 14% of excess over $100,000,000 $10,000,000 Over $100,000,000                      $13,811,845 plus 15% of excess over $100,000,000 
19	11.24 - 12.3	§ 3.(viii)	For taxable years beginning after two thousand twenty-four the following rates shall apply: If the New York taxable income is:     The tax is: Not over $8,500                        4% of the New York taxable income Over $8,500 but not over $11,700       $340 plus 4.5% of excess over $8,500 Over $11,700 but not over $13,900      $484 plus 5.25% of excess over $11,700 Over $13,900 but not over $80,650      $600 plus 5.50% of excess over $13,900 Over $80,650 but not over $215,400     $4,271 plus 6.00% of excess over $80,650 Over $215,400 but not over             $12,356 plus 6.85% of excess over $300,000 $215,400 Over $300,000 but not over $400,000    $18,151 plus 7.5% of excess over $300,000 Over $400,000 but not over $500,000    $25,651 plus 8% of excess over $400,000 Over $500,000 but not over $600,000    $33,651 plus 8.5% of excess over $500,000 Over $600,000 but not over $700,000    $42,151 plus 9% of excess over $600,000 Over $700,000 but not over $800,000    $51,151 plus 9.5% of excess over $700,000 Over $800,000 but not over $900,000    $60,651 plus 10% of excess over $800,000 Over $900,000 but not over             $70,651 plus 11% of excess over $1,000,000 $900,000 Over $1,000,000 but not over           $81,651 plus 12% of excess over $5,000,000 $1,000,000 Over $5,000,000 but not over           $561,651 plus 13% of excess over $10,000,000 $5,000,000 Over $10,000,000 but not over          $1,211,651 plus 14% of excess over $100,000,000 $10,000,000 Over $100,000,000                     $13,811,651 plus 15% of excess over $100,000,000 
20	12.4 - 12.8	§ 4.	Subparagraphs (A), (B), (C), (D) and (E) of paragraph 1 of subsection (d-1) of section 601 of the tax law, as added by section 7 of part A of chapter 56 of the laws of 2011, subparagraph (D) as amended by section 4 of part P of chapter 59 of the laws of 2019, are amended to read as follows: 
21	12.9 - 12.19	§ 4.(A)	The tax table benefit is the difference between (i) the amount of taxable income set forth in the tax table in paragraph one of subsection (a)of this section not subject to the [6.45] 6.33 percent rate of tax for the taxable year multiplied by such rate and (ii) the dollar denominated tax for such amount of taxable income set forth in the tax table applicable to the taxable year in paragraph one of subsection (a) of this section.     The fraction for this subparagraph is computed as follows: the numerator is the lesser of fifty thousand dollars or the excess of New York adjusted gross income for the taxable year over one hundred sixty-one thousand, five hundred fifty thousand dollars and the denominator is fifty thousand dollars. 
23	12.20 - 12.32	§ 4.(B)	The tax table benefit is the difference between (i) the amount of taxable income set forth in the tax table in paragraph one of subsection (a)of this section not subject to the [6.65] 6.85 percent rate of tax for the taxable year multiplied by such rate and (ii) the dollar denominated tax for such amount of taxable income set forth in the tax table applicable to the taxable year in paragraph one of subsection (a) of this section less the tax table benefit in subparagraph (A) of this paragraph. The fraction for this subparagraph is computed as follows: the numerator is the lesser of fifty thousand dollars or the excess of New York adjusted gross income for the taxable year over [one] three hundred [fifty] twenty-three thousand, two hundred dollars and the denominator is fifty thousand dollars. Provided, however, this subparagraph shall not apply to taxpayers who are not subject to the [6.65] 
25	12.33 - 12.33	§ 4.6.	85 percent tax rate. 
26	12.34 - 12.47	§ 4.6.(C)	The tax table benefit is the difference between (i) the amount of taxable income set forth in the tax table in paragraph one of subsection (a)of this section not subject to the [6.85] 7.5 percent rate of tax for the taxable year multiplied by such rate and (ii) the dollar denominated tax for such amount of taxable income set forth in the tax table applicable to the taxable year in paragraph one of subsection (a) of this section less the sum of the tax table benefit in subparagraphs (A) and (B) of this paragraph. The fraction for this subparagraph is computed as follows: the numerator is the lesser of fifty thousand dollars or the excess of New York adjusted gross income for the taxable year over [three] four hundred fifty thousand dollars and the denominator is fifty thousand dollars.      Provided, however, this subparagraph shall not apply to taxpayers who are not subject to the [6.85] 7.5 percent tax rate. 
28	12.48 - 13.7	§ 4.6.(D)	The tax table benefit is the difference between (i) the amount of taxable income set forth in the tax table in paragraph one of subsection (a)of this section not subject to the [8.82] 8 percent rate of tax for the taxable year multiplied by such rate and (ii) the dollar denominated tax for such amount of taxable income set forth in the tax table applicable to the taxable year in paragraph one of subsection (a) of this section less the sum of the tax table benefits in subparagraphs (A), (B) and (C) of this paragraph. The fraction for this subparagraph is computed as follows: the numerator is the lesser of fifty thousand dollars or the excess of New York adjusted gross income for the taxable year over [two million] six hundred thousand dollars and the denominator is fifty thousand dollars. [This subparagraph shall apply only to taxable years beginning on or after January first, two thousand twelve and before January first, two thousand twenty-five] Provided, however, this subparagraph shall not apply to taxpayers who are not subject to the 8 percent tax rate. 
30	13.8 - 13.20	§ 4.6.(E)	The tax table benefit is the difference between (i) the amount of taxable income set forth in the tax table in paragraph one of subsection (a)of this section not subject to the 8.5 percent rate of tax for the taxable year multiplied by such rate and (ii) the dollar denominated tax for such amount of taxable income set forth in the tax table applicable to the taxable year in paragraph one of subsection (a) of this section less the sum of the tax table benefit in subparagraphs (A) through (D) of this paragraph. The fraction for this subparagraph is computed as follows: the numerator is the lesser of fifty thousand dollars or the excess of New York adjusted gross income for the taxable year over seven hundred thousand dollars and the denominator is fifty thousand dollars. Provided, however, this subparagraph shall not apply to taxpayers who are not subject to the 8.5 percent tax rate. 
32	13.21 - 13.33	§ 4.6.(F)	The tax table benefit is the difference between (i) the amount of taxable income set forth in the tax table in paragraph one of subsection (a)of this section not subject to the 9 percent rate of tax for the taxable year multiplied by such rate and (ii) the dollar denominated tax for such amount of taxable income set forth in the tax table applicable to the taxable year in paragraph one of subsection (a) of this section less the sum of the tax table benefit in subparagraphs (A) through (E) of this paragraph. The fraction for this subparagraph is computed as follows: the numerator is the lesser of fifty thousand dollars or the excess of New York adjusted gross income for the taxable year over eight hundred thousand dollars and the denominator is fifty thousand dollars. Provided, however, this subparagraph shall not apply to taxpayers who are not subject to the 9 percent tax rate. 
34	13.34 - 13.46	§ 4.6.(G)	The tax table benefit is the difference between (i) the amount of taxable income set forth in the tax table in paragraph one of subsection (a)of this section not subject to the 9.5 percent rate of tax for the taxable year multiplied by such rate and (ii) the dollar denominated tax for such amount of taxable income set forth in the tax table applicable to the taxable year in paragraph one of subsection (a) of this section less the sum of the tax table benefit in subparagraphs (A) through (F) of this paragraph. The fraction for this subparagraph is computed as follows: the numerator is the lesser of fifty thousand dollars or the excess of New York adjusted gross income for the taxable year over nine hundred thousand dollars and the denominator is fifty thousand dollars. Provided, however, this subparagraph shall not apply to taxpayers who are not subject to the 9.5 percent tax rate. 
36	13.47 - 14.3	§ 4.6.(H)	The tax table benefit is the difference between (i) the amount of taxable income set forth in the tax table in paragraph one of subsection (a)of this section not subject to the 10 percent rate of tax for the taxable year multiplied by such rate and (ii) the dollar denominated tax for such amount of taxable income set forth in the tax table applicable to the taxable year in paragraph one of subsection (a) of this section less the sum of the tax table benefit in subparagraphs (A) through (G) of this paragraph. The fraction for this subparagraph is computed as follows: the numerator is the lesser of fifty thousand dollars or the excess of New York adjusted gross income for the taxable year over one million dollars and the denominator is fifty thousand dollars. Provided, however, this subparagraph shall not apply to taxpayers who are not subject to the 10 percent tax rate. 
