Item	Page_Lines	Para	Text
30	3.50 - 3.51	(§3.) ARTICLE 76 § 76-0101.14.	"""Greenhouse gas"" shall have the same definition as in section 75-0101 of this chapter. "
31	3.52 - 3.54	(§3.) ARTICLE 76 § 76-0101.15.	"""Notice of cost recovery demand"" means the written communication informing a responsible party of the amount of the cost recovery demand payable to the fund. "
32	3.55 - 3.56	(§3.) ARTICLE 76 § 76-0101.16.	"""Petroleum products"" shall have the same definition as in section 1-103 of the energy law. "
33	4.1 - 4.2	(§3.) ARTICLE 76 § 76-0101.17.	"""Program"" means the climate change adaptation cost recovery program established under section 76-0103 of this article. "
34	4.3 - 4.5	(§3.) ARTICLE 76 § 76-0101.18.	"""Qualifying expenditure"" means an authorized payment from the fund in support of a climate change adaptive infrastructure project, including its operation and maintenance, as defined by the department. "
35	4.6 - 4.13	(§3.) ARTICLE 76 § 76-0101.19.	"""Responsible party"" means any entity (or a successor in interest to such entity described herein), which, during any part of the covered period, was engaged in the trade or business of extracting fossil fuel or refining crude oil and is determined by the department to be responsible for more than one billion tons of covered greenhouse gas emissions. The term responsible party shall not include any person who lacks sufficient connection with the state to satisfy the nexus requirements of the United States Constitution. "
36	4.14 - 4.14	(§3.) ARTICLE 76 § 76-0103.	The climate change adaptation cost recovery program. 
37	4.15 - 4.16	(§3.) ARTICLE 76 § 76-0103.1.	There is hereby established a climate change adaptation cost recovery program administered by the department. 
38	4.17 - 4.17	(§3.) ARTICLE 76 § 76-0103.2.	The purposes of the program shall be the following: 
39	4.18 - 4.20	(§3.) ARTICLE 76 § 76-0103.2.a.	To secure compensatory payments from responsible parties based on a standard of strict liability to provide a source of revenue for climate change adaptive infrastructure projects within the state. 
40	4.21 - 4.22	(§3.) ARTICLE 76 § 76-0103.2.b.	To determine proportional liability of responsible parties pursuant to subdivision three of this section; 
41	4.23 - 4.24	(§3.) ARTICLE 76 § 76-0103.2.c.	To impose cost recovery demands on responsible parties and issue notices of cost recovery demands; 
42	4.25 - 4.25	(§3.) ARTICLE 76 § 76-0103.2.d.	To accept and collect payment from responsible parties; 
43	4.26 - 4.26	(§3.) ARTICLE 76 § 76-0103.2.e.	To identify climate change adaptive infrastructure projects; 
44	4.27 - 4.28	(§3.) ARTICLE 76 § 76-0103.2.f.	To disperse funds to climate change adaptive infrastructure projects; and 
45	4.29 - 4.32	(§3.) ARTICLE 76 § 76-0103.2.g.	To ensure that at least thirty-five percent of the qualified expenditures from the program shall go to climate change adaptive infrastructure projects that directly benefit disadvantaged communities as defined in section 75-0101 of this chapter. 
46	4.33 - 4.36	(§3.) ARTICLE 76 § 76-0103.3.	a. A responsible party shall be strictly liable, without regard to fault, for a share of the costs of climate change adaptive infrastructure projects, including their operation and maintenance, supported by the fund. 
47	4.37 - 4.41	(§3.) ARTICLE 76 § 76-0103.3.b.	With respect to each responsible party, the cost recovery demand shall be equal to an amount that bears the same ratio to thirty billion dollars as the responsible party's applicable share of covered greenhouse gas emissions bears to the aggregate applicable shares of covered greenhouse gas emissions of all responsible parties. 
48	4.42 - 4.45	(§3.) ARTICLE 76 § 76-0103.3.c.	The applicable share of covered greenhouse gas emissions taken into account under this section for any responsible party shall be the amount by which the covered greenhouse gas emissions attributable to such responsible party exceeds one billion metric tons. 
49	4.46 - 4.52	(§3.) ARTICLE 76 § 76-0103.3.d.	Where an entity owns a minority interest in another entity of ten percent or more, the calculation of the entity's applicable share of greenhouse gas emissions taken into account under this section shall include the applicable share of greenhouse gas emissions taken into account under this section by the entity in which the responsible party holds a minority interest, multiplied by the percentage of the minority interest held. 
50	4.53 - 5.7	(§3.) ARTICLE 76 § 76-0103.3.e.	In determining the amount of greenhouse gas emissions attributable to any entity, an amount equivalent to nine hundred forty-two and onehalf metric tons of carbon dioxide equivalent shall be treated as released for every million pounds of coal attributable to such entity; an amount equivalent to four hundred thirty-two thousand one hundred eighty metric tons of carbon dioxide equivalent shall be treated as released for every million barrels of crude oil attributable to such entity; and an amount equivalent to fifty-three thousand four hundred forty metric tons of carbon dioxide equivalent shall be treated as released for every million cubic feet of fuel gases attributable to such entity. 
51	5.8 - 5.15	(§3.) ARTICLE 76 § 76-0103.3.f.	The commissioner may adjust the cost recovery demand amount of a responsible party refining petroleum products (or who is a successor in interest to such an entity) if such responsible party establishes to the satisfaction of the commissioner that a portion of the cost recovery demand amount was attributable to the refining of crude oil extracted by another responsible party (or who is a successor in interest to such an entity) that accounted for such crude oil in determining its cost recovery demand amount. 
52	5.16 - 5.18	(§3.) ARTICLE 76 § 76-0103.3.g.	Payment of a cost recovery demand shall be made in full on the applicable payment date unless a responsible party elects to pay in installments pursuant to paragraph h of this subdivision. 
53	5.19 - 5.25	(§3.) ARTICLE 76 § 76-0103.3.h.	A responsible party may elect to pay the cost recovery demand amount in nine annual installments, twenty percent of the total due in the first installment and ten percent of the total due in each of the following eight installments. If an election is made under this paragraph, the first installment shall be paid on the applicable payment date and each subsequent installment shall be paid on the same date as the applicable payment date in each succeeding year. 
54	5.26 - 5.39	(§3.) ARTICLE 76 § 76-0103.3.i.	If there is any addition to the original amount of the cost recovery demand for failure to timely pay any installment required under this subdivision, a liquidation or sale of substantially all the assets of the responsible party (including in a proceeding under U.S. Code: Title 11 or similar case), a cessation of business by the responsible party, or any similar circumstance, then the unpaid balance of all remaining installments shall be due on the date of such event (or in the case of a proceeding under U.S. Code: Title 11 or similar case, on the day before the petition is filed). The preceding sentence shall not apply to the sale of substantially all of the assets of a responsible party to a buyer if such buyer enters into an agreement with the department under which such buyer is liable for the remaining installments due under this subdivision in the same manner as if such buyer were the responsible party. 
55	5.40 - 5.42	(§3.) ARTICLE 76 § 76-0103.4.	Within one year of the effective date of this article, the department shall promulgate such regulations as are necessary to carry out this article, including but not limited to: 
56	5.43 - 5.45	(§3.) ARTICLE 76 § 76-0103.4.a.	adopting methodologies using the best available science to determine responsible parties and their applicable share of covered greenhouse gas emissions consistent with the provisions of this article; 
57	5.46 - 5.47	(§3.) ARTICLE 76 § 76-0103.4.b.	registering entities that are responsible parties under the program; 
58	5.48 - 5.52	(§3.) ARTICLE 76 § 76-0103.4.c.	issuing notices of cost recovery demand to responsible parties informing them of the cost recovery demand amount; how and where cost recovery demands can be paid; the potential consequences of nonpayment and late payment; and information regarding their rights to contest an assessment; 
59	5.53 - 5.54	(§3.) ARTICLE 76 § 76-0103.4.d.	accepting payments from, pursuing collection efforts against, and negotiating settlements with responsible parties; and 
60	5.55 - 6.9	(§3.) ARTICLE 76 § 76-0103.4.e.	adopting procedures for identifying climate change adaptive infrastructure projects eligible to receive qualifying expenditures, including legislative budget appropriations, issuance of requests for proposals from localities and not-for-profit and community organizations, grants to private individuals, or other methods as determined by the department, and for dispersing moneys from the fund for qualifying expenditures. Total qualifying expenditures shall be allocated in such a way as to ensure at least thirty-five percent of the qualified expenditures from the program shall go to climate change adaptive infrastructure projects that directly benefit disadvantaged communities as defined in section 75-0101 of this chapter. 
61	6.10 - 6.12	(§3.) ARTICLE 76 § 76-0103.5.	The department, the department of taxation and finance, and the attorney general are hereby authorized to enforce the provisions of this article. 
62	6.13 - 6.18	(§3.) ARTICLE 76 § 76-0103.6.	The department or the department of taxation and finance shall provide an opportunity to be heard to any responsible parties that seek to contest a cost recovery demand. Determinations made in favor of a petitioner after such hearing shall be final and conclusive. A determination in favor of the state may be appealed under article seventy-eight of the civil practice law and rules. 
63	6.19 - 6.21	(§3.) ARTICLE 76 § 76-0103.7.	Moneys received from cost recovery demands shall be deposited in the climate change adaptation fund established pursuant to section ninety-seven-k of the state finance law. 
64	6.22 - 6.25	(§3.) ARTICLE 76 § 76-0103.8.	a. The department shall conduct an independent evaluation of the climate change adaptation cost recovery program. The purpose of this evaluation is to determine the effectiveness of the program in achieving its purposes as defined in subdivision two of this section. 
65	6.26 - 6.30	(§3.) ARTICLE 76 § 76-0103.8.b.	Such evaluation shall be provided to the governor, the temporary president of the senate and the speaker of the assembly on or before January first of the second calendar year following the year in which this article is enacted into law, and annually on or before September thirtieth thereafter. 
66	6.31 - 6.33	(§3.) ARTICLE 76 § 76-0103.8.c.	Any entity contracted by the department to conduct such evaluation shall receive prompt payment of all moneys due upon completion of such evaluation. 
67	6.34 - 6.35	§ 4.	The state finance law is amended by adding a new section 97-k to read as follows: 
68	6.36 - 6.42	(§4.) § 97-k.1.	"Climate change adaptation fund. 1. There is hereby established in the custody of the comptroller and the commissioner of taxation and finance a special revolving fund to be known as the ""climate change adaptation fund"" for the purpose of receiving moneys through cost recovery demands and issuing funds for qualifying expenditures pursuant to the climate change adaptation cost recovery program established in article seventy-six of the environmental conservation law. "
69	6.43 - 6.46	(§4.) § 97-k.2.	No monies shall be expended from the fund for any project except qualifying expenditures pursuant to the program, including their operation and maintenance, as well as reasonable costs incurred by the department of environmental conservation for administering the program. 
70	6.47 - 6.56	(§4.) § 97-k.3.	Revenues in the fund shall be kept separate and shall not be commingled with any other moneys in the custody of the comptroller or the commissioner of taxation and finance. All deposits of such revenues shall, if required by the comptroller, be secured by obligations of the United States or of the state having a market value equal at all times to the amount of such deposits and all banks and trust companies are authorized to give security for such deposits. Any such revenues in such fund may, upon the discretion of the comptroller, be invested in obligations in which the comptroller is authorized to invest pursuant to section ninety-eight-a of this article. 
71	7.1 - 7.2	(§4.) § 97-k.4.	All payments of moneys from the fund shall be made on the audit and warrant of the comptroller. 
72	7.3 - 7.6	§ 5.	Availability of additional remedies. Nothing in this act shall be deemed to preclude the pursuit of a civil action or other remedy by any person. The remedies provided in this act are in addition to those provided by existing statutory or common law. 
73	7.7 - 7.13	§ 6.	Severability. If any word, phrase, clause, sentence, paragraph, section, or part of this act shall be adjudged by any court of competent jurisdiction to be invalid, such judgment shall not affect, impair, or invalidate the remainder thereof, but shall be confined in its operation to the word, phrase, clause, sentence, paragraph, section, or part thereof directly involved in the controversy in which such judgment shall have been rendered. 
74	7.14 - 7.16	§ 7.	Construction. This act, being necessary for the general health, safety, and welfare of the people of this state, shall be liberally construed to effect its purpose. 
75	7.17 - 7.17	§ 8.	This act shall take effect immediately. 
